caso,threads,repeticao,t_ms,total
05-worker-leitura-suja,4,1,156.44,39800
05-worker-leitura-suja,4,1,157.16,39700
05-worker-leitura-suja,4,1,157.32,39600
05-worker-leitura-suja,4,1,169.17,39700
05-worker-leitura-suja,4,1,169.86,39600
05-worker-leitura-suja,4,1,172.16,39700
05-worker-leitura-suja,4,1,172.87,39600
05-worker-leitura-suja,4,1,174.11,39700
05-worker-leitura-suja,4,1,174.22,39800
05-worker-leitura-suja,4,1,174.95,39700
05-worker-leitura-suja,4,1,175.06,39600
05-worker-leitura-suja,4,1,186.28,39700
05-worker-leitura-suja,4,1,186.92,39600
05-worker-leitura-suja,4,1,189.06,39700
05-worker-leitura-suja,4,1,189.77,39600
05-worker-leitura-suja,4,1,191.15,39700
05-worker-leitura-suja,4,1,191.28,39800
05-worker-leitura-suja,4,1,191.94,39700
05-worker-leitura-suja,4,1,192.07,39600
05-worker-leitura-suja,4,1,203.13,39700
05-worker-leitura-suja,4,1,203.82,39600
05-worker-leitura-suja,4,1,207.08,39700
05-worker-leitura-suja,4,1,207.91,39600
05-worker-leitura-suja,4,1,208.29,39800
05-worker-leitura-suja,4,1,208.92,39700
05-worker-leitura-suja,4,1,209.06,39600
05-worker-leitura-suja,4,1,221.17,39700
05-worker-leitura-suja,4,1,221.88,39600
05-worker-leitura-suja,4,1,224.09,39700
05-worker-leitura-suja,4,1,224.83,39600
05-worker-leitura-suja,4,1,225.26,39700
05-worker-leitura-suja,4,1,225.94,39600
05-worker-leitura-suja,4,1,226.18,39700
05-worker-leitura-suja,4,1,227.18,39600
05-worker-leitura-suja,4,1,238.18,39700
05-worker-leitura-suja,4,1,238.82,39600
05-worker-leitura-suja,4,1,241.03,39700
05-worker-leitura-suja,4,1,241.72,39600
05-worker-leitura-suja,4,1,244.04,39700
05-worker-leitura-suja,4,1,244.19,39800
05-worker-leitura-suja,4,1,245.02,39700
05-worker-leitura-suja,4,1,245.18,39600
05-worker-leitura-suja,4,1,257.57,39700
05-worker-leitura-suja,4,1,258.18,39800
05-worker-leitura-suja,4,1,261.32,39900
05-worker-leitura-suja,4,1,262.34,40000
05-worker-leitura-suja,4,1,264.32,40000
05-worker-leitura-suja,8,1,1.26,40000
05-worker-leitura-suja,8,1,132.78,39900
05-worker-leitura-suja,8,1,137.36,39700
05-worker-leitura-suja,8,1,138.94,39600
05-worker-leitura-suja,8,1,140.73,39500
05-worker-leitura-suja,8,1,141.11,39400
05-worker-leitura-suja,8,1,141.91,39300
05-worker-leitura-suja,8,1,145.92,39200
05-worker-leitura-suja,8,1,153.15,39300
05-worker-leitura-suja,8,1,153.93,39200
05-worker-leitura-suja,8,1,155.58,39300
05-worker-leitura-suja,8,1,155.74,39400
05-worker-leitura-suja,8,1,157.26,39300
05-worker-leitura-suja,8,1,157.69,39200
05-worker-leitura-suja,8,1,157.96,39300
05-worker-leitura-suja,8,1,159.43,39400
05-worker-leitura-suja,8,1,160.09,39500
05-worker-leitura-suja,8,1,161.16,39400
05-worker-leitura-suja,8,1,161.29,39200
05-worker-leitura-suja,8,1,164.01,39300
05-worker-leitura-suja,8,1,164.94,39200
05-worker-leitura-suja,8,1,170.8,39300
05-worker-leitura-suja,8,1,171.45,39200
05-worker-leitura-suja,8,1,175.22,39300
05-worker-leitura-suja,8,1,175.34,39400
05-worker-leitura-suja,8,1,176.06,39300
05-worker-leitura-suja,8,1,176.3,39200
05-worker-leitura-suja,8,1,176.99,39300
05-worker-leitura-suja,8,1,177.71,39200
05-worker-leitura-suja,8,1,178.45,39300
05-worker-leitura-suja,8,1,178.6,39400
05-worker-leitura-suja,8,1,178.75,39500
05-worker-leitura-suja,8,1,179.54,39400
05-worker-leitura-suja,8,1,179.66,39300
05-worker-leitura-suja,8,1,179.78,39200
05-worker-leitura-suja,8,1,182.81,39300
05-worker-leitura-suja,8,1,183.47,39200
05-worker-leitura-suja,8,1,187.82,39300
05-worker-leitura-suja,8,1,188.36,39200
05-worker-leitura-suja,8,1,192.93,39300
05-worker-leitura-suja,8,1,193.61,39400
05-worker-leitura-suja,8,1,193.83,39300
05-worker-leitura-suja,8,1,194.4,39200
05-worker-leitura-suja,8,1,194.8,39300
05-worker-leitura-suja,8,1,195.56,39200
05-worker-leitura-suja,8,1,197.09,39300
05-worker-leitura-suja,8,1,197.26,39500
05-worker-leitura-suja,8,1,198.04,39400
05-worker-leitura-suja,8,1,198.21,39300
05-worker-leitura-suja,8,1,198.41,39200
05-worker-leitura-suja,8,1,199.75,39300
05-worker-leitura-suja,8,1,200.4,39200
05-worker-leitura-suja,8,1,204.85,39300
05-worker-leitura-suja,8,1,205.56,39200
